Datum;dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];
05.02.2024 09:50;-5.0782;-5.0572;-4.8322;-4.5132;-5.4672;-4.4332;-0.0930;-0.2030;-3.5942;-6.1942;-0.6420;-1.1240;-0.0400;1.3050;3.9440;1.0180;-0.8605;1.9938;0.9268;3.5398;-1.2602;2.3378;-0.1472;0.8138;0.3698;-1.6722;-3.9402;1.3318;-4.3622;-4.8742;-3.8622;-5.4022;0.0000;-4.3872;-4.3112;-4.0382;-5.3652;-3.3972;0.5550;-0.0630;-3.2992;-6.1702;1.4970;0.6720;-0.0480;0.9190;1.1320;-2.4236;-2.9810;-1.3600;2.7380;0.1406;4.7498;-0.1162;1.7628;2.1028;0.0308;-0.6242;-4.1202;-4.4022;-3.4842;-4.5682;
05.02.2024 09:45;-4.4903;-4.4973;-4.2253;-3.9773;-4.9583;-3.9493;-0.1180;-0.1330;-3.0903;-5.5173;-0.3410;-0.8660;0.0080;1.5240;4.2790;1.2210;-0.6448;2.1984;1.1299;3.7447;-0.8833;2.6937;0.2707;1.0897;0.3437;-0.6103;-3.9493;0.7397;-4.3363;-4.8543;-3.1463;-4.6873;0.0000;-3.8653;-3.7113;-3.4633;-4.8753;-2.8703;0.5840;0.3980;-2.7683;-5.5803;1.7660;1.3470;0.3960;1.1180;1.3900;-2.3901;-2.6880;-1.1280;2.9425;0.3628;5.0567;0.2197;2.0847;2.7007;-0.1153;-0.7463;-3.5843;-4.1173;-2.6013;-3.9123;
05.02.2024 09:40;-4.4658;-4.6098;-4.2548;-3.9028;-4.9078;-3.9538;-0.3270;-0.1920;-3.0068;-5.6948;-0.7670;-1.2710;-0.3620;1.3650;3.9300;1.3420;-0.5339;2.3168;1.2512;3.8572;-1.1278;2.8442;-0.0318;0.5522;0.4422;-0.8778;-3.3328;0.7582;-3.5688;-4.2728;-3.3218;-4.7198;0.0000;-3.7968;-3.9548;-3.4288;-4.9168;-2.8108;0.0510;-0.3920;-2.7768;-5.6058;1.3430;0.5510;-0.7200;0.6860;0.9940;-2.4292;-2.6410;-1.0850;3.0627;0.4932;5.0602;1.0142;1.9822;2.3542;-0.3848;-1.3408;-3.5958;-3.8998;-2.6878;-3.9458;
05.02.2024 09:35;-4.1505;-4.2165;-3.8725;-3.5145;-4.6855;-3.4355;-0.0100;-0.0770;-2.7505;-5.3475;-0.5210;-1.1140;0.3840;1.6130;4.1700;1.2880;-0.5837;2.2649;1.1980;3.8115;-0.8445;2.6425;0.3595;1.0605;0.1435;-1.3515;-3.7185;1.2815;-3.1335;-4.4775;-2.4885;-4.4205;0.0000;-3.5545;-3.4325;-3.0645;-4.5455;-2.4805;0.4240;-0.2420;-2.4415;-5.4025;1.6090;0.9980;0.0380;0.9500;1.1990;-2.4069;-2.6690;-1.0340;3.0097;0.4490;5.2165;0.5275;2.0485;2.5335;0.1385;-0.6765;-3.2225;-4.3045;-2.4965;-3.6275;
05.02.2024 09:30;-5.7524;-5.6574;-5.3374;-5.0974;-6.1864;-5.1314;-0.3690;-1.2670;-4.2724;-6.8724;-1.1580;-1.7640;-0.6790;1.0610;3.3060;0.6040;-1.2578;1.5827;0.5149;3.1286;-1.5834;1.7266;-0.2224;0.4146;-0.4144;-2.2194;-4.8114;0.4816;-4.9084;-5.6904;-4.1794;-5.9454;0.0000;-5.0484;-5.0294;-4.6824;-6.0144;-4.0624;-0.3000;-0.7590;-3.9664;-6.8624;0.8880;0.2780;-0.9060;0.3090;0.3980;-2.4794;-3.3620;-1.7200;2.3252;-0.2430;4.3096;-0.5714;1.1976;1.7796;-0.5664;-1.4434;-4.8524;-5.7494;-3.7754;-5.2434;
05.02.2024 09:25;-5.4961;-5.7571;-5.3121;-5.0421;-6.0261;-5.0071;-0.3800;-0.2280;-4.2781;-7.0691;-0.6880;-1.3240;-0.2980;1.1120;3.9180;0.8760;-0.9875;1.8532;0.7857;3.3999;-1.4901;2.1129;-0.2051;0.8949;0.3049;-1.9951;-4.1811;0.4839;-4.7691;-5.6451;-4.1361;-5.8291;0.0000;-4.8831;-4.8691;-4.6041;-5.9121;-3.9161;0.3630;-0.3080;-3.9321;-6.8591;1.4510;0.7520;0.3310;0.8230;1.0370;-2.4271;-3.0030;-1.4520;2.5979;0.0330;4.5639;-0.5611;1.3819;1.9629;-0.3541;-1.4871;-4.7111;-5.2021;-4.3761;-4.9941;
05.02.2024 09:20;-4.8122;-4.7742;-4.4322;-4.2162;-5.3962;-4.1212;-0.4110;-0.5920;-3.4652;-6.0152;-0.6160;-1.2490;-0.3340;1.0580;3.9270;1.3690;-0.5044;2.3435;1.2786;3.8848;-0.9392;2.3978;-0.4602;1.1688;0.3488;-2.0842;-3.7162;0.9178;-4.0782;-4.6912;-3.0582;-4.9812;0.0000;-4.1912;-4.1412;-3.8982;-5.2032;-3.1292;0.4260;-0.2630;-3.1042;-6.0602;1.4630;0.9410;-0.0920;0.8100;1.0250;-2.4236;-2.6800;-1.0720;3.0901;0.5054;5.3278;0.6048;2.0798;2.7358;-0.0642;-0.9822;-3.9932;-4.9612;-3.1332;-4.2382;
05.02.2024 09:15;-4.7546;-4.8126;-4.5086;-4.1516;-5.2876;-4.1086;-0.2690;-0.0840;-3.3626;-5.9556;-0.7060;-1.3350;-0.1620;1.3850;3.7140;1.0380;-0.8243;2.0167;0.9484;3.5684;-0.9866;2.2924;0.1614;1.0334;0.1574;-1.7276;-4.0426;0.7414;-3.5776;-4.6926;-2.8896;-5.1356;0.0000;-4.1526;-4.0176;-3.7646;-5.0946;-3.1306;0.3060;0.2290;-3.0726;-5.9466;1.4890;0.7790;-0.3890;0.7520;0.9650;-2.4246;-2.9370;-1.3720;2.7591;0.1914;4.8964;-0.2656;2.1014;2.5984;0.1424;-0.8886;-3.8856;-4.3226;-2.8376;-4.2756;
05.02.2024 09:10;-5.0130;-4.8140;-4.8740;-4.5270;-5.4160;-4.5250;0.0890;0.0690;-3.6670;-6.3230;-0.4890;-1.0100;0.1570;1.7470;4.0180;1.2750;-0.5933;2.2513;1.1852;3.7960;-1.0520;2.4330;-0.2100;1.0390;0.3460;-1.3220;-4.0560;0.8100;-4.1770;-5.5320;-3.8130;-5.2980;0.0000;-4.3430;-4.1890;-4.0530;-5.2380;-3.3680;0.8330;-0.0690;-3.3710;-6.2300;1.7410;0.5630;0.1460;0.8550;1.1210;-2.4092;-2.7560;-1.1190;2.9960;0.4112;4.8230;0.1080;1.8000;2.1250;-0.2490;-0.6350;-4.1250;-4.6720;-3.6690;-4.5310;
05.02.2024 09:05;-4.8781;-4.8461;-4.6161;-4.2581;-5.1591;-4.1511;0.3290;-0.5550;-3.2731;-5.8011;-0.6660;-1.2090;0.0650;1.7190;3.8630;1.1440;-0.7284;2.1205;1.0538;3.6659;-1.1561;2.2979;-0.0041;0.9559;0.2439;-1.3361;-4.3011;0.7589;-4.2441;-4.1931;-3.3101;-5.0591;0.0000;-4.1781;-4.1081;-3.7881;-5.1791;-3.0801;0.3060;0.0330;-3.1331;-5.9091;1.5090;0.6400;0.1200;0.8850;1.1370;-2.4181;-2.9140;-1.3030;2.8647;0.2816;4.9199;0.3479;1.8909;2.1389;-0.1251;-1.0561;-3.9331;-4.6661;-2.8411;-4.2521;
05.02.2024 09:00;-4.7752;-4.9162;-4.4232;-4.0852;-5.2962;-4.3402;-0.5780;-1.2350;-3.4172;-5.8782;-1.0190;-1.6920;-1.0290;0.9390;3.4570;0.8320;-1.0408;1.8091;0.7413;3.3558;-1.6602;2.1778;-0.0542;1.0568;0.2368;-1.7302;-3.8852;0.7828;-4.0812;-5.2272;-3.4252;-4.9842;0.0000;-4.1282;-3.9642;-3.6682;-5.1212;-3.2252;-0.2240;-0.7090;-3.1882;-6.1152;1.1020;0.0740;-0.9890;0.3260;0.5500;-2.4800;-3.2690;-1.5800;2.5529;-0.0142;4.7488;0.2068;1.4738;2.0918;-0.3312;-1.8442;-3.8332;-4.4622;-2.7202;-4.1442;
05.02.2024 08:55;-5.3258;-5.1828;-5.2188;-4.7658;-5.7728;-4.8008;-0.3110;-0.5990;-3.8838;-6.2628;-1.2310;-1.9420;-0.8220;0.8970;3.0500;0.7860;-1.0889;1.7615;0.6957;3.3022;-1.6308;1.6772;-0.3458;0.1452;-0.1768;-2.3048;-4.8218;-0.0678;-4.5558;-4.4218;-3.8808;-5.4678;0.0000;-4.7338;-4.7788;-4.4508;-5.5918;-3.7088;-0.5280;-1.1330;-3.6548;-6.3528;0.8660;-0.1160;-0.8160;0.0960;0.3080;-2.4901;-3.1990;-1.6880;2.5061;-0.0912;4.3542;-0.1308;1.2482;1.7072;-0.7678;-1.2648;-4.4498;-5.2658;-3.3978;-4.7358;
05.02.2024 08:50;-4.1236;-4.2296;-3.9646;-3.6546;-4.6626;-3.6136;-0.0510;-0.4750;-2.7196;-5.3706;-0.4930;-1.1710;0.5680;1.4540;4.0140;1.5480;-0.3151;2.5258;1.4585;4.0744;-1.0926;2.5304;0.3564;1.0964;1.1744;-1.3366;-3.7056;0.7974;-3.5976;-3.6056;-3.1796;-4.4606;0.0000;-3.5616;-3.5676;-3.2696;-4.5606;-2.5176;0.4600;-0.3300;-2.5736;-5.4216;1.6510;0.7260;-0.1800;0.9870;1.1530;-2.4106;-2.4430;-0.8620;3.2687;0.7006;4.9944;-0.1286;2.1814;2.3724;-0.0926;-1.2966;-3.4446;-3.7036;-2.4056;-3.7126;
05.02.2024 08:45;-4.9023;-4.8263;-4.6943;-4.3043;-5.2913;-4.2673;0.0090;-0.5440;-3.5523;-6.2053;-0.9370;-1.5720;-0.3940;0.9860;3.4000;1.2770;-0.5890;2.2556;1.1878;3.8057;-1.2873;2.1927;-0.1583;1.0887;0.5577;-1.8933;-4.0413;0.7327;-3.9813;-4.7473;-3.7573;-5.0683;0.0000;-4.2433;-4.3503;-3.9813;-5.3203;-3.1923;-0.0690;-0.6170;-3.2153;-6.1143;1.2330;0.3840;-0.9800;0.4320;0.6420;-2.4567;-2.7470;-1.0950;2.9973;0.4214;4.8117;0.0187;1.6237;1.9067;-0.3133;-0.9423;-4.0763;-4.3573;-3.2223;-4.4403;
05.02.2024 08:40;-5.5889;-5.5529;-5.2469;-4.9209;-5.9949;-4.7919;0.1520;-0.7250;-4.2849;-6.8259;-1.0000;-1.6620;-0.7180;0.6660;3.3900;0.3520;-1.5084;1.3301;0.2627;2.8791;-2.1089;1.5011;-0.7799;0.3191;-0.3399;-2.4079;-4.6629;-0.0269;-4.6639;-5.5959;-4.6029;-5.8159;0.0000;-4.8469;-4.8999;-4.5519;-5.8979;-3.8749;0.0840;-0.9220;-3.8829;-6.7579;1.1470;-0.0540;-0.7020;0.4330;0.4830;-2.4751;-3.6460;-1.9690;2.0732;-0.5162;4.0521;-0.7449;1.2131;1.5871;-1.0169;-1.8719;-4.7479;-5.5319;-3.5429;-5.0539;
05.02.2024 08:35;-5.1715;-5.2795;-5.0535;-4.6475;-5.6445;-4.7535;-0.1570;-0.4520;-4.0435;-6.4885;-1.0420;-1.7370;-0.7270;0.6840;3.4120;0.7230;-1.1361;1.7012;0.6341;3.2535;-1.6715;2.1205;-0.0405;0.7305;0.0335;-2.0245;-4.0375;0.8385;-4.6545;-6.1515;-3.8705;-5.5435;0.0000;-4.6195;-4.7985;-4.1245;-5.7455;-3.7135;0.1020;-0.2690;-3.6015;-6.5645;1.0860;0.2550;-0.6540;0.2530;0.5000;-2.4809;-3.3140;-1.6660;2.4442;-0.1412;4.5385;-0.8115;1.5605;2.0015;-0.5365;-0.9145;-4.3935;-5.5225;-3.8545;-4.7115;
05.02.2024 08:30;-4.1754;-4.1234;-3.7984;-3.5584;-4.5434;-3.5284;0.2100;-0.5610;-2.7664;-5.4414;-0.3980;-1.0570;0.1190;1.0700;4.0430;1.5940;-0.2735;2.5714;1.5040;4.1126;-0.8694;2.7206;0.3046;1.2356;0.5516;-1.5754;-3.0024;0.6186;-3.1664;-5.3504;-2.9414;-4.4224;0.0000;-3.4294;-3.5434;-3.1584;-4.5924;-2.4954;0.5910;0.0300;-2.4434;-5.5024;1.7820;1.0140;-0.3700;0.9330;1.1890;-2.4112;-2.4450;-0.8550;3.3143;0.7050;5.2666;-0.1564;2.1356;2.7866;0.0426;-0.9724;-3.2774;-3.7394;-2.4604;-3.6504;
05.02.2024 08:25;-5.4426;-5.3826;-5.1286;-4.8786;-5.8816;-4.8096;-0.0300;-0.4430;-3.9556;-6.6936;-0.7500;-1.3760;-0.4490;1.2520;3.6070;0.7700;-1.0975;1.7475;0.6806;3.2954;-1.8436;1.7794;-0.7546;-0.1936;-0.6576;-2.2456;-4.7056;-0.3536;-4.6646;-5.2766;-4.0026;-5.7086;0.0000;-4.8786;-4.8516;-4.5106;-5.8946;-3.8906;0.1790;-0.3330;-3.8096;-6.6466;1.2630;0.5620;-0.3330;0.6540;0.8140;-2.4447;-3.2530;-1.6240;2.4910;-0.0900;3.9714;-1.1776;1.3094;1.0524;-1.0626;-2.2616;-4.5476;-5.1726;-3.9256;-4.9996;
05.02.2024 08:20;-4.7288;-4.7928;-4.3278;-4.0568;-5.0738;-4.1098;0.0590;-0.6730;-3.2698;-5.8548;-0.6760;-1.3090;-0.1820;1.2960;3.8070;1.1830;-0.6891;2.1582;1.0920;3.6992;-1.3808;2.0862;-0.3078;0.9202;0.0292;-1.8068;-4.0468;0.6222;-4.3408;-5.1788;-3.5018;-5.0208;0.0000;-4.0388;-4.1788;-3.5878;-5.1158;-3.0468;0.2560;-0.6670;-3.0328;-5.9948;1.5470;0.7390;0.0850;0.9520;1.0200;-2.4387;-2.9470;-1.2330;2.9039;0.2826;4.7822;0.1142;1.7862;1.8342;-0.5988;-1.2198;-3.8578;-4.5948;-3.0238;-4.2228;
05.02.2024 08:15;-5.1552;-5.3262;-4.8632;-4.5282;-5.6252;-4.6542;0.0800;-0.2110;-3.7592;-6.3882;-0.4450;-1.2230;-0.3210;1.0050;3.8270;1.3590;-0.5048;2.3349;1.2686;3.8868;-1.7482;2.0638;-0.0932;0.8598;-0.1582;-1.9332;-4.3892;0.4748;-4.1042;-5.3462;-3.8312;-5.3892;0.0000;-4.4922;-4.5952;-4.1052;-5.7092;-3.4442;0.4540;-0.1970;-3.5142;-6.2862;1.5140;0.8840;0.0090;0.8910;1.0540;-2.4266;-2.6690;-1.0180;3.0801;0.4754;4.3858;-0.9182;1.5608;2.1298;-0.3992;-0.8612;-4.2362;-4.7902;-3.0132;-4.5592;
05.02.2024 08:10;-5.6043;-5.7223;-5.4173;-5.0643;-6.1663;-5.2783;0.1480;-0.3880;-4.3013;-6.8913;-0.2600;-1.0280;0.3700;1.7620;4.0650;1.2010;-0.6639;2.1794;1.1099;3.7157;-1.4093;2.3047;0.1207;0.4847;-0.4803;-1.9363;-4.2043;0.4407;-5.1343;-6.1953;-3.9463;-6.0293;0.0000;-4.9723;-4.9293;-4.6403;-6.3293;-3.9863;0.6520;0.4810;-4.0643;-6.9053;1.7570;1.0840;0.3710;1.0020;1.2270;-2.3985;-2.8010;-1.2090;2.9215;0.3076;4.8307;-0.6743;2.1417;2.4957;-0.2363;-1.2623;-4.8433;-5.8673;-3.9143;-5.0993;
05.02.2024 08:05;-5.7679;-5.7009;-5.4269;-5.1559;-6.0859;-5.2099;0.5670;-0.2400;-4.2509;-6.7499;-0.0940;-0.7570;0.9200;1.7730;4.3560;1.4060;-0.4607;2.3824;1.3155;3.9221;-0.7739;2.6331;0.3411;1.3671;0.1761;-1.3989;-4.7289;1.3121;-4.6529;-6.4949;-4.1039;-5.9049;0.0000;-4.9799;-5.0979;-4.6219;-6.1089;-4.0069;0.8510;-0.0980;-4.0789;-6.9109;2.0120;1.1980;-0.5600;1.3070;1.5940;-2.3762;-2.5900;-1.0190;3.1258;0.5134;5.1341;0.1131;2.3401;2.6401;-0.0779;-1.0749;-4.7379;-5.1529;-3.5279;-5.1589;
05.02.2024 08:00;-5.7760;-5.6900;-5.4160;-5.0510;-6.1410;-5.0860;-0.4340;-0.4050;-4.3830;-7.0160;-0.9600;-1.6460;0.1570;0.8380;3.4130;1.3170;-0.5553;2.2921;1.2254;3.8260;-0.9090;2.4330;0.0890;0.7950;0.2910;-1.2500;-4.1520;0.9790;-5.2320;-6.7420;-3.4990;-6.0410;0.0000;-4.9020;-4.9880;-4.5590;-6.2330;-4.0400;-0.2110;-0.7460;-4.0730;-6.9770;1.1090;0.4030;-0.9420;0.3870;0.6270;-2.4741;-2.8190;-1.1320;3.0372;0.3966;5.1130;0.0260;2.2520;2.2160;0.0420;-1.0360;-5.0120;-5.8880;-3.3400;-5.0860;
05.02.2024 07:55;-5.2679;-5.2029;-4.9409;-4.7759;-5.6919;-4.6839;0.3600;0.1570;-3.9889;-6.6309;-0.2620;-0.9930;0.3650;1.8000;4.0880;1.5560;-0.3204;2.5313;1.4657;4.0751;-1.4229;2.5111;-0.1189;0.4391;0.3481;-2.0469;-4.3759;0.4511;-4.5319;-5.8209;-3.6819;-5.4569;0.0000;-4.5279;-4.5279;-4.2529;-5.6179;-3.6139;0.6090;0.4990;-3.6099;-6.6689;1.9190;1.2830;-0.1910;1.1500;1.3330;-2.4011;-2.5700;-0.9210;3.2765;0.6718;4.5521;-0.0989;2.1051;1.7911;-0.3509;-1.3969;-4.3399;-4.9469;-3.3199;-4.7109;
05.02.2024 07:50;-5.4142;-5.3102;-5.1892;-4.9182;-6.0182;-4.8332;0.2830;-0.1810;-4.0272;-6.4432;-0.2070;-0.9320;0.3720;1.7280;4.1040;1.4440;-0.4204;2.4204;1.3545;3.9688;-1.6552;2.3048;-0.1932;0.5548;0.2468;-1.5812;-4.3402;0.4708;-4.6362;-5.0592;-3.7902;-5.7502;0.0000;-4.6542;-4.7322;-4.4212;-5.9032;-3.7672;0.7600;0.1530;-3.7932;-6.6042;1.8110;1.0680;0.4840;1.0440;1.2750;-2.4004;-2.5980;-0.9620;3.1646;0.5540;4.4578;-0.4252;1.9508;2.0048;-0.4502;-1.2512;-4.4632;-5.3882;-3.4642;-4.9402;
05.02.2024 07:45;-5.2296;-5.2206;-5.1246;-4.6596;-5.7696;-4.8186;0.3720;-0.6510;-4.0536;-6.5726;-0.3810;-1.0400;0.2380;1.8000;4.0770;1.6330;-0.2441;2.6094;1.5428;4.1484;-0.8886;2.8384;0.2974;1.2624;0.6894;-1.3576;-3.8576;0.6784;-4.6776;-5.7336;-3.8716;-5.4686;0.0000;-4.4866;-4.5346;-4.2526;-5.7316;-3.7806;0.6070;-0.1070;-3.6746;-6.4706;1.7940;1.0210;-0.1730;0.9530;1.2110;-2.4052;-2.4450;-0.8290;3.3542;0.7418;5.1214;-0.1056;2.5274;2.3684;-0.2616;-0.6636;-4.3626;-5.1686;-3.6586;-4.5606;
05.02.2024 07:40;-4.7523;-4.8613;-4.4943;-4.2913;-5.3943;-4.1473;0.3210;0.1530;-3.4063;-6.0273;-0.1630;-0.8780;-0.2390;1.7710;4.2700;2.0780;0.2010;3.0513;1.9873;4.5877;-1.1673;2.5617;0.3697;1.0727;0.1167;-1.6883;-4.0383;0.6027;-4.0263;-4.2223;-3.6393;-5.0973;0.0000;-4.0463;-4.1943;-3.7463;-5.2403;-3.1383;0.7940;0.7690;-3.1743;-5.9903;2.0920;1.3040;0.1370;1.2370;1.3690;-2.3826;-1.9820;-0.4260;3.7984;1.1750;4.9607;0.0757;2.4717;2.6157;0.1497;-1.2433;-3.9593;-4.4853;-2.9753;-4.2213;
05.02.2024 07:35;-5.5146;-5.4856;-5.1706;-4.9066;-6.0716;-4.8266;0.3250;-0.3800;-4.0046;-6.7816;-0.5680;-1.2980;0.0310;1.1750;3.8280;1.5040;-0.3624;2.4803;1.4143;4.0254;-1.6686;2.2904;-0.1306;0.4004;-0.6716;-1.9676;-4.2486;-0.0056;-4.8026;-5.1026;-4.3386;-5.6856;0.0000;-4.8446;-4.8126;-4.4476;-5.6816;-3.8896;0.3570;-0.2060;-3.8906;-6.9146;1.4490;0.4320;-0.4860;0.6740;0.9670;-2.4343;-2.5090;-0.8850;3.2257;0.6230;4.6534;-0.3856;2.1044;1.8474;-0.4686;-1.6946;-4.5946;-5.7066;-3.9256;-4.8736;
05.02.2024 07:30;-6.0333;-6.0323;-5.7353;-5.4683;-6.5153;-5.4893;-0.1190;-0.0660;-4.6033;-7.2953;-0.5350;-1.3080;-0.1680;1.1680;3.6680;1.1020;-0.7639;2.0773;1.0120;3.6197;-2.0783;1.8397;-0.6333;0.2117;-1.0013;-2.6213;-5.0043;-0.0593;-5.3373;-5.7753;-4.6093;-6.3123;0.0000;-5.3773;-5.4383;-4.9793;-6.5473;-4.3313;0.1690;-0.5760;-4.4133;-7.2683;1.4400;0.8830;-0.1200;0.7840;0.9130;-2.4366;-2.9430;-1.3310;2.8235;0.2174;4.1967;-0.8473;1.2407;1.3227;-1.0043;-1.6933;-5.1483;-5.5153;-4.1803;-5.4473;
05.02.2024 07:25;-4.4337;-4.3397;-3.9887;-3.8267;-5.0217;-3.5947;0.8220;0.6690;-2.9947;-5.5807;0.0730;-0.6290;0.4750;1.5670;4.4580;2.2290;0.3497;3.2048;2.1390;4.7503;-0.4777;3.2383;0.2983;1.5553;0.9193;-1.1877;-4.0267;1.3853;-3.7107;-3.6717;-2.6837;-4.6787;0.0000;-3.7847;-3.3347;-3.4067;-5.0087;-2.5847;1.2020;0.4090;-2.6927;-5.5827;2.2490;1.8040;-0.1360;1.5520;1.5720;-2.3637;-1.7900;-0.1240;3.9505;1.3476;5.4693;0.3183;2.7553;2.8483;0.4723;-0.3197;-3.6127;-3.9027;-2.4417;-3.8137;
05.02.2024 07:20;-4.8732;-4.8762;-4.5162;-4.2222;-5.2592;-4.3562;0.2060;-0.3310;-3.4072;-6.1112;-0.1780;-0.8780;1.0470;1.6450;4.3780;1.8700;-0.0024;2.8463;1.7795;4.3858;-0.8262;2.4018;0.1768;0.8328;0.1498;-1.6662;-3.9842;0.5588;-4.3282;-4.6092;-3.2382;-5.1532;0.0000;-4.1792;-4.0882;-3.7722;-5.2622;-3.2042;0.4960;-0.0830;-3.2042;-6.1902;1.9660;0.9620;0.3440;1.3010;1.5080;-2.3855;-2.1640;-0.5440;3.5906;0.9860;5.1498;0.3728;2.0248;2.3248;-0.5202;-2.2902;-4.0422;-4.8222;-2.5672;-4.1462;
05.02.2024 07:15;-5.7624;-5.8984;-5.5924;-5.2724;-6.2384;-5.2764;0.2480;-0.5510;-4.4684;-7.1404;-0.4420;-1.0700;0.4290;1.5880;4.1720;1.3000;-0.5683;2.2771;1.2100;3.8166;-2.3104;2.0046;-0.4994;0.1476;-0.1314;-2.2354;-5.2274;0.1376;-5.3394;-5.9944;-4.8834;-6.0774;0.0000;-5.0334;-5.2304;-4.7144;-6.2654;-4.1804;0.8080;-0.6240;-4.1904;-7.1484;1.6640;0.7510;-0.2990;1.0790;1.2470;-2.4159;-2.6880;-1.0760;3.0218;0.4286;4.2876;-0.3864;1.5876;1.2956;-0.9144;-2.1464;-4.8624;-5.1664;-3.9564;-5.0874;
05.02.2024 07:10;-5.9278;-5.8678;-5.6858;-5.3538;-6.5268;-5.4438;-0.2430;-0.7990;-4.6118;-7.4168;-0.7160;-1.4350;-0.1310;1.4190;3.6990;1.0410;-0.8373;2.0178;0.9493;3.5452;-2.2498;1.3042;-1.0748;-0.6178;-0.9808;-3.0038;-5.1708;-0.6818;-5.4178;-6.4048;-4.6778;-6.1978;0.0000;-5.2078;-5.1268;-4.7698;-6.3478;-4.1328;0.2810;-0.0410;-4.2958;-7.3348;1.4970;0.7890;0.0950;0.7260;0.8920;-2.4410;-3.0180;-1.3770;2.7614;0.1324;3.8202;-1.5278;0.8562;1.7742;-1.3268;-2.6918;-4.9198;-5.8798;-4.2028;-5.3548;
05.02.2024 07:05;-5.6193;-5.6753;-5.1853;-4.8473;-5.9283;-5.0063;-0.0220;-1.1680;-4.3413;-6.8423;-0.3300;-1.0900;-0.5500;1.5960;4.1110;1.7910;-0.0674;2.7684;1.7008;4.3087;-1.1933;2.3887;0.2187;0.8187;-0.0103;-1.9243;-4.2853;0.2157;-4.7683;-5.4113;-4.4263;-5.7713;0.0000;-4.9203;-4.8943;-4.3903;-5.9353;-3.8903;0.6680;-0.0270;-3.9113;-6.7493;1.7230;1.2100;0.0440;1.0560;1.2650;-2.4119;-2.2040;-0.5740;3.5124;0.9266;4.7617;-0.4223;2.1447;2.2717;-0.3583;-1.3843;-4.5373;-4.9443;-3.3233;-4.9203;
05.02.2024 07:00;-5.1982;-5.2642;-4.8612;-4.6752;-5.8972;-4.6142;-0.0530;-0.2310;-3.7172;-6.5202;-0.3930;-1.1280;0.3400;1.3170;4.1220;1.6620;-0.2035;2.6381;1.5712;4.1938;-1.5052;2.3728;-0.4352;0.3048;-0.3612;-2.0932;-4.3402;0.5668;-4.6262;-4.9622;-3.7692;-5.4402;0.0000;-4.4982;-4.3782;-4.1702;-5.8452;-3.4112;0.2750;0.2720;-3.6432;-6.7702;1.6530;0.8120;0.4280;1.0020;1.2230;-2.4096;-2.3450;-0.7070;3.3842;0.8092;4.5028;-0.6062;2.3518;2.7188;-0.5592;-1.5242;-4.3722;-4.8112;-3.0182;-4.6112;
05.02.2024 06:55;-5.8718;-5.9998;-5.5048;-5.2668;-6.4778;-5.2258;0.2410;-0.7810;-4.4518;-7.2098;-0.7070;-1.3360;-0.2960;1.1790;3.6860;1.2140;-0.6396;2.1891;1.1231;3.7262;-2.1978;2.0122;-0.4778;0.2862;-0.7958;-1.9988;-4.8048;-0.0788;-5.2398;-5.9058;-4.3138;-5.9918;0.0000;-5.1058;-5.4088;-4.8198;-6.3118;-4.1658;0.2570;-0.2360;-4.1318;-7.1358;1.4840;0.5450;-0.3460;0.7580;0.9070;-2.4406;-2.7950;-1.2170;2.9353;0.3014;4.2062;-0.2828;1.6032;1.5842;-0.7408;-2.3878;-4.8588;-5.4788;-4.0038;-5.1898;
05.02.2024 06:50;-5.3152;-5.4182;-4.9932;-4.7702;-5.7712;-4.6922;-0.0130;-0.5100;-3.9002;-6.5902;-0.5330;-1.2710;0.0080;1.4120;3.7320;1.7880;-0.0671;2.7638;1.6963;4.2978;-1.5342;2.4388;-0.1032;0.9008;-0.2602;-1.9122;-4.3182;0.3878;-4.5262;-5.3962;-3.6812;-5.5622;0.0000;-4.5402;-4.6192;-4.1962;-5.7402;-3.6192;0.3320;-0.0680;-3.6342;-6.7132;1.5130;0.7540;0.2310;0.8160;1.0660;-2.4299;-2.1330;-0.6530;3.5096;0.8836;4.6698;0.3088;2.3238;2.1988;-0.4792;-1.8612;-4.3852;-4.8622;-3.3902;-4.7422;
